Destino,FechaSalida,FechaRegreso,Descripcion,Precio
Guangsheng,2024-05-29 12:15:53,2023-12-31 04:57:02,Tomographic (Tomo) Nuclear Medicine Imaging of Skull using Other Radionuclide,1188.79
Ciharalang,2023-07-26 14:51:08,2023-08-17 19:26:54,Postural Control Treatment of Neurological System - Whole Body using Orthosis,1135.57
Bang Bon,2023-10-18 05:05:44,2024-06-19 00:55:16,Immobilization of Face using Cast,1866.01
Chaplygin,2023-12-19 12:46:45,2024-03-30 12:37:34,"Repair Middle Colic Artery, Percutaneous Endoscopic Approach",905.05
Cestas,2023-07-29 17:15:18,2023-12-07 03:26:24,"Drainage of Hymen with Drainage Device, Percutaneous Endoscopic Approach",2124.37
Luar,2024-03-06 20:32:15,2024-06-29 09:06:47,"Drainage of Cervical Nerve, Percutaneous Endoscopic Approach, Diagnostic",1704.51
Labuhansumbawa,2024-03-12 07:34:35,2024-03-03 22:08:56,"Supplement Right Cornea with Synthetic Substitute, Percutaneous Approach",364.27
Tabor,2023-10-22 22:10:11,2023-11-21 09:16:54,"Replacement of Right Fibula with Autologous Tissue Substitute, Percutaneous Approach",1429.54
Helong,2024-04-12 08:42:14,2023-07-22 12:25:58,"Extirpation of Matter from Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic",2111.39
Thị Trấn Ngải Giao,2024-02-06 06:46:10,2024-01-19 22:52:22,High Dose Rate (HDR) Brachytherapy of Oropharynx using Iodine 125 (I-125),2419.9
Gaspar Hernández,2024-05-08 17:07:15,2024-06-28 09:51:24,"Replacement of Right Parietal Bone with Synthetic Substitute, Open Approach",869.26
Vancouver,2024-06-24 13:14:26,2023-12-10 13:40:48,"Resection of Right Lacrimal Duct, Via Natural or Artificial Opening",792.46
Karlstad,2023-09-23 01:59:12,2023-10-07 10:29:08,"Dilation of Right Subclavian Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach",2327.99
San Andres,2024-06-23 06:52:23,2024-03-27 08:17:55,"Change Drainage Device in Upper Bursa and Ligament, External Approach",1567.7
Tintafor,2023-09-18 08:49:47,2024-04-24 14:40:08,"Dilation of Abdominal Aorta, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",2462.18
Malikisi,2023-10-08 11:30:24,2023-12-17 11:49:32,"Supplement Right Finger Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach",1931.52
Óbidos,2024-03-19 20:46:46,2024-03-11 10:05:22,"Supplement Left Glenoid Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",679.02
Tanxi,2023-12-26 20:14:05,2023-10-23 03:43:54,"Removal of Autologous Tissue Substitute from Left Pelvic Bone, Percutaneous Approach",2370.72
Poitiers,2024-06-08 22:04:25,2024-01-16 03:00:53,"Supplement Papillary Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",1012.59
Jetis,2024-03-29 04:13:17,2023-08-08 05:43:20,"Excision of Large Intestine, Via Natural or Artificial Opening",440.97
Paraguarí,2023-09-10 19:16:10,2023-08-04 22:29:39,"Excision of Right Lower Lung Lobe, Percutaneous Approach",2082.84
Lourido,2023-08-16 04:08:53,2024-06-06 10:22:26,"Removal of Autologous Tissue Substitute from Right Radius, Percutaneous Approach",564.87
Xuchang,2024-06-03 08:28:42,2023-08-17 20:00:05,"Repair Right Inferior Parathyroid Gland, Open Approach",1039.82
Mafang,2023-12-29 02:24:13,2023-08-07 01:10:03,"Occlusion of Left Fallopian Tube with Intraluminal Device, Percutaneous Approach",1254.41
San José,2023-10-04 16:54:55,2023-10-18 12:36:59,"Removal of Synthetic Substitute from Sacrococcygeal Joint, Open Approach",1988.63
Adolfo Lopez Mateos,2023-09-02 17:18:09,2024-05-25 09:45:39,"Removal of External Fixation Device from Right Humeral Shaft, Open Approach",1356.67
Reno,2024-04-01 14:50:14,2023-12-27 00:47:45,"Fusion of Left Tarsal Joint, Percutaneous Endoscopic Approach",1105.13
Lluchubamba,2024-05-13 15:35:00,2023-07-14 14:05:51,"Revision of Autologous Tissue Substitute in Lower Extremity Subcutaneous Tissue and Fascia, Open Approach",1823.0
Regnów,2024-06-12 11:18:31,2024-03-12 11:19:50,"Removal of Drainage Device from Thoracic Vertebral Joint, Percutaneous Endoscopic Approach",674.43
Suban,2023-12-25 02:30:05,2024-06-17 08:51:11,"Fusion of Left Hip Joint with External Fixation Device, Open Approach",720.33
Koysinceq,2024-01-25 19:21:12,2024-04-20 09:44:28,"Repair Left Ureter, Percutaneous Endoscopic Approach",2284.54
Rikitea,2023-09-21 09:53:53,2023-11-28 14:18:29,"Dilation of Right External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach",615.36
Yingchuan,2024-01-19 12:56:13,2024-06-29 01:14:30,"Supplement Right Maxilla with Synthetic Substitute, Open Approach",1738.87
Shipunovo,2024-06-23 00:08:19,2023-11-03 17:05:38,"Revision of Spacer in Thoracolumbar Vertebral Joint, External Approach",2401.79
Aginskoye,2023-10-09 23:07:11,2024-01-06 18:02:36,"Fluoroscopy of Left Pulmonary Artery using High Osmolar Contrast, Laser Intraoperative",1043.93
Upig,2024-02-20 06:48:43,2024-06-17 18:11:30,"Repair Cystic Duct, Via Natural or Artificial Opening",2379.22
Yuanjue,2023-12-23 22:39:05,2024-06-27 20:23:20,"Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach",2127.8
Zborište,2024-04-22 02:38:42,2023-07-26 23:26:22,"Alteration of Right Knee Region with Autologous Tissue Substitute, Percutaneous Approach",1553.42
Gaohong,2024-01-17 03:50:41,2024-02-20 01:31:44,"Drainage of Uterus, Percutaneous Approach",1411.18
Anuling,2023-07-14 06:06:44,2023-11-12 05:30:52,"Dilation of Celiac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach",929.24
Santa Maria,2023-11-08 20:40:55,2023-10-22 04:52:23,"Dilation of Esophagus with Intraluminal Device, Percutaneous Approach",2022.51
Dongjingcheng,2024-01-30 01:17:56,2023-11-21 01:59:57,"Drainage of Right Femoral Artery, Percutaneous Approach, Diagnostic",1887.34
Všeruby,2024-04-28 14:31:38,2023-10-22 12:53:48,"Repair Right Axillary Artery, Percutaneous Approach",515.01
Panshan,2024-05-13 07:06:50,2024-04-26 17:45:10,"Reposition Right Radius with Intramedullary Internal Fixation Device, Open Approach",572.03
Göteborg,2023-07-25 10:54:33,2023-11-05 01:21:14,"Drainage of Left Radius with Drainage Device, Percutaneous Approach",825.17
Fengyi,2024-05-18 16:19:32,2024-01-29 12:18:08,"Resection of Parathyroid Gland, Percutaneous Endoscopic Approach",2312.76
Ōdachō-ōda,2024-01-17 08:47:46,2023-07-26 08:13:18,"Drainage of Right Zygomatic Bone with Drainage Device, Open Approach",1401.22
Cidadap,2024-02-12 13:46:56,2023-10-23 19:18:28,"Extirpation of Matter from Large Intestine, Percutaneous Approach",2092.88
Cibangun Tengah,2024-05-23 08:27:23,2024-01-15 10:19:41,"Removal of Infusion Device from Scrotum and Tunica Vaginalis, Via Natural or Artificial Opening Endoscopic",1039.25
Ludwin,2023-10-05 03:18:25,2024-02-25 02:31:33,"Drainage of Right Greater Saphenous Vein, Open Approach, Diagnostic",1411.3
Matangshan,2023-12-04 00:10:03,2023-11-14 17:01:10,"Insertion of Intraluminal Device into Left Hypogastric Vein, Percutaneous Approach",1422.03
Krutja e Poshtme,2023-08-14 06:39:22,2023-10-06 15:30:06,"Removal of Radioactive Element from Left Breast, Percutaneous Approach",2335.11
Ramotswa,2023-10-13 17:15:12,2023-10-20 13:48:41,"Revision of Synthetic Substitute in Right Patella, Open Approach",1475.51
Livadiya,2023-10-30 00:06:47,2023-12-19 14:47:34,"Alteration of Female Perineum with Nonautologous Tissue Substitute, Percutaneous Approach",1506.06
Nová Role,2024-05-30 08:42:37,2024-06-07 21:40:25,"Repair Right Shoulder Bursa and Ligament, Open Approach",414.94
Bodø,2024-01-02 01:05:27,2023-07-20 07:10:04,"Fragmentation in Gallbladder, Via Natural or Artificial Opening Endoscopic",795.5
Farinheiras,2024-01-24 13:03:32,2024-04-17 21:16:21,"Extirpation of Matter from Left Finger Phalangeal Joint, Percutaneous Endoscopic Approach",339.96
Gendiwu,2024-03-17 08:31:32,2024-06-25 11:44:24,"Supplement Left Internal Carotid Artery with Nonautologous Tissue Substitute, Open Approach",1221.01
Melfi,2023-11-19 02:34:21,2023-11-23 03:34:37,"Bypass Left Common Iliac Artery to Mesenteric Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",1123.06
Peukanbada,2024-06-03 14:57:51,2024-05-04 01:04:58,"Revision of Nonautologous Tissue Substitute in Penis, Via Natural or Artificial Opening",790.81
Vantaa,2024-05-19 08:15:19,2024-02-01 13:46:14,"Inspection of Occipital-cervical Joint, Percutaneous Approach",1305.16
Dongping,2024-06-21 11:09:05,2023-08-02 04:16:08,"Reposition Left Ankle Joint with External Fixation Device, Open Approach",2316.79
Kamo,2023-11-06 06:27:12,2023-10-15 09:31:27,"Revision of Drainage Device in Ureter, Open Approach",1917.03
Santa Venera,2024-05-26 21:26:11,2024-01-03 17:46:11,"Insertion of Intraluminal Device into Innominate Artery, Percutaneous Endoscopic Approach",1174.4
Las Palmas,2024-01-29 16:18:15,2024-01-20 18:06:38,"Magnetic Resonance Imaging (MRI) of Superior Mesenteric Artery using Other Contrast, Unenhanced and Enhanced",673.89
Cali,2024-03-10 18:17:00,2024-01-04 05:35:25,"Imaging, Urinary System, Ultrasonography",2470.98
Linshui,2024-06-08 06:35:53,2023-07-09 04:32:25,"Drainage of Large Intestine with Drainage Device, Percutaneous Endoscopic Approach",1034.55
Napuro,2024-01-01 15:41:22,2024-04-11 07:59:12,"Drainage of Right Innominate Vein, Percutaneous Endoscopic Approach",1155.41
Patarrá,2024-04-29 14:44:04,2024-02-14 08:32:07,"Destruction of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach",1340.61
Kazlų Rūda,2024-01-15 15:31:13,2023-12-21 11:27:42,"Resection of Right Seminal Vesicle, Open Approach",1547.99
Lingkou,2024-04-03 13:47:13,2023-08-24 04:46:52,"Occlusion of Left Parotid Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",541.41
Pau,2024-04-11 03:31:44,2024-02-05 15:06:13,"Drainage of Cerebral Ventricle, Open Approach, Diagnostic",829.37
Ribeiro,2024-04-05 21:51:57,2023-10-19 05:21:14,"Insertion of Intramedullary Internal Fixation Device into Right Fibula, Percutaneous Approach",576.93
Huxiaoqiao,2024-01-01 20:08:03,2024-02-09 16:01:11,"Removal of Extraluminal Device from Lower Artery, Percutaneous Approach",461.62
São Martinho do Campo,2024-02-04 06:09:50,2024-05-19 18:20:38,"Revision of Extraluminal Device in Epididymis and Spermatic Cord, External Approach",2467.35
Setanggor,2024-04-02 16:07:32,2023-10-05 20:07:58,"Drainage of Facial Nerve, Percutaneous Endoscopic Approach",762.7
Doroslovo,2024-01-13 00:38:31,2024-04-11 05:38:59,"Excision of Left Knee Joint, Open Approach",1527.01
São Bento,2023-11-16 16:41:00,2023-12-22 02:08:23,"Drainage of Nasal Septum, Percutaneous Endoscopic Approach, Diagnostic",1099.84
Castillos,2023-07-18 17:24:11,2023-12-04 06:33:43,"Bypass Left Common Iliac Artery to Right Renal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",647.37
Cela,2024-03-21 09:25:56,2024-04-23 16:22:10,"Insertion of Infusion Device into Inferior Mesenteric Vein, Open Approach",1463.38
Tost,2023-10-21 23:41:14,2024-04-22 12:46:55,"Bypass Left External Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Open Approach",668.61
Touguinha,2024-05-30 13:46:37,2023-12-09 19:03:35,"Excision of Head Muscle, Percutaneous Approach",1492.34
Zhutian,2023-12-04 14:03:01,2024-04-13 06:16:12,"Replacement of Left Parotid Duct with Nonautologous Tissue Substitute, Percutaneous Approach",2221.04
Sale,2023-07-28 06:32:42,2024-06-06 14:24:54,"Bypass Right Axillary Artery to Right Upper Leg Artery with Autologous Arterial Tissue, Open Approach",1811.1
Pochinki,2023-11-27 05:30:16,2024-05-05 21:55:27,"Division of Right Knee Bursa and Ligament, Percutaneous Approach",815.09
Estância Velha,2024-05-18 23:40:00,2023-08-27 14:22:00,"Transfer Hypoglossal Nerve to Oculomotor Nerve, Percutaneous Endoscopic Approach",1593.82
Dolní Bečva,2023-08-31 15:26:04,2024-03-14 14:27:04,"Drainage of Right Testis, Percutaneous Approach, Diagnostic",2203.25
Pásion,2023-10-09 02:36:02,2024-04-26 19:05:29,"Dilation of Right Common Iliac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach",1464.86
Mueang Nonthaburi,2024-04-20 06:41:40,2023-10-13 15:38:26,"Insertion of External Fixation Device into Right Maxilla, Open Approach",692.86
La Caleta Culebras,2023-10-29 00:37:19,2023-11-22 15:12:58,Wound Management Treatment of Musculoskeletal System - Head and Neck,1529.6
La Agustina,2023-12-26 01:29:40,2023-09-25 04:47:56,Therapeutic Exercise Treatment of Circulatory System - Head and Neck using Physical Agents,920.1
Lanús,2023-09-27 04:41:23,2023-12-28 22:35:24,"Excision of Mediastinum, Open Approach, Diagnostic",1796.61
Nizhnekamsk,2023-07-10 23:25:32,2024-01-23 19:39:31,"Replacement of Right Lower Leg Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach",517.28
Kim Sơn,2023-10-28 18:47:41,2024-04-06 03:20:13,"Drainage of Left Sternoclavicular Joint with Drainage Device, Open Approach",350.11
Isla Pucú,2024-06-25 12:43:53,2024-02-22 22:12:27,"Bypass Left Innominate Vein to Upper Vein with Nonautologous Tissue Substitute, Open Approach",377.88
Bicurga,2023-10-26 23:57:32,2024-03-16 06:27:25,"Supplement Ileum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",1570.07
Fox Creek,2024-05-15 07:28:57,2024-06-04 12:26:11,"Introduction of Oxazolidinones into Lower GI, Percutaneous Approach",682.27
Nurlat,2023-12-09 02:38:49,2023-10-23 15:46:18,"Transfer Left Foot Muscle with Skin and Subcutaneous Tissue, Open Approach",778.98
Nancheng,2024-03-10 19:45:50,2024-04-26 06:33:50,"Extraction of Radial Nerve, Open Approach",844.81
Březová,2024-04-25 06:51:14,2023-11-14 12:54:14,"Supplement Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",2202.73
Teseney,2023-07-12 09:09:48,2023-07-27 01:06:30,"Drainage of Female Perineum, Percutaneous Endoscopic Approach",1777.59
Sobienie Jeziory,2024-06-09 06:06:23,2023-09-14 12:32:20,"Excision of Right Pleura, Percutaneous Endoscopic Approach",1970.84
Balas,2023-09-24 10:26:33,2023-12-14 02:49:32,"Drainage of Middle Esophagus, Percutaneous Approach, Diagnostic",1753.59
Madīnat Ḩamad,2024-04-01 10:16:29,2023-10-31 21:21:27,"Excision of Carina, Via Natural or Artificial Opening, Diagnostic",784.79
Krasnoarmeysk,2023-09-13 07:40:29,2023-10-10 08:55:03,"Transfer Perineum Skin, External Approach",2333.71
Chachoengsao,2023-10-22 17:42:40,2024-01-21 16:27:17,"Release Right Elbow Joint, External Approach",1908.91
Guadalupe,2024-01-04 03:27:53,2023-10-21 11:04:47,"Repair Left Innominate Vein, Percutaneous Approach",596.8
Capela,2023-12-03 14:30:28,2024-02-06 11:18:06,Monaural Hearing Aid Assessment using Hearing Aid Selection / Fitting / Test Equipment,2020.71
Kefar Yona,2023-12-15 05:54:40,2023-12-14 10:13:11,"Insertion of Single Array Rechargeable Stimulator Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",1800.49
Carletonville,2024-04-19 11:48:59,2023-08-14 09:01:19,"Removal of Nonautologous Tissue Substitute from Face, Percutaneous Approach",1924.96
Novaya Derevnya,2023-10-21 15:27:06,2023-08-10 21:48:59,"Extraction of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach",1840.17
San Jerónimo,2024-02-04 05:40:45,2023-08-11 02:53:27,"Removal of Autologous Tissue Substitute from Right Metacarpocarpal Joint, Percutaneous Endoscopic Approach",2489.3
Morez,2024-04-18 20:55:17,2024-01-08 04:23:06,"Excision of Left Submaxillary Gland, Open Approach",1846.16
Seremban,2024-03-22 14:24:32,2023-07-27 18:28:38,"Excision of Right Pleura, Open Approach",2100.55
